	dataset	lang	tokenizer	vocab_size	train	token	model_type
	en_mr	mr	mr_unigram_1.5k	1500	2.45412421226501	1.28864359855652	unigram
	en_mr	mr	mr_unigram_3.0k	3000	2.30668544769287	1.12431025505066	unigram
	en_mr	mr	mr_unigram_4.0k	4000	2.25877213478088	1.38804197311401	unigram
	en_mr	mr	mr_unigram_6.0k	6000	2.69290494918823	2.02501487731934	unigram
	en_mr	mr	mr_unigram_8.0k	8000	2.25239157676697	1.92069602012634	unigram
	en_mr	en	en_bpe_0.5k	500	0.683095216751099	2.53432488441467	bpe
	en_mr	en	en_bpe_1.0k	1000	0.628785371780396	2.53114867210388	bpe
	en_mr	en	en_bpe_2.0k	2000	0.710434436798096	2.58502745628357	bpe
	en_mr	en	en_bpe_4.0k	4000	0.848131895065308	2.62042307853699	bpe
	en_mr	en	en_bpe_8.0k	8000	1.15308570861816	2.65874886512756	bpe
	en_mr	en	en_bpe_16.0k	16000	1.88512873649597	2.89960336685181	bpe
	en_mr	en	en_bpe_32.0k	32000	3.10722351074219	2.85969281196594	bpe
	en_mr	mr	mr_bpe_0.5k	500	0.925594568252564	2.88143634796143	bpe
	en_mr	mr	mr_bpe_1.0k	1000	1.01919269561768	3.04908561706543	bpe
	en_mr	mr	mr_bpe_2.0k	2000	1.32805252075195	2.74012780189514	bpe
	en_mr	mr	mr_bpe_4.0k	4000	1.70348334312439	2.91856217384338	bpe
	en_mr	mr	mr_bpe_8.0k	8000	2.47178220748901	3.04023003578186	bpe
	en_mr	mr	mr_bpe_16.0k	16000	4.84833216667175	2.81424331665039	bpe
	en_mr	mr	mr_bpe_32.0k	32000	10.476167678833	3.00264716148376	bpe
	en_mr	en	en_hft_0.5k	500	3.60617423057556	5.79146146774292	hft
	en_mr	en	en_hft_0.75k	750	5.04256415367126	5.95674443244934	hft
	en_mr	en	en_hft_1.5k	1500	12.9279742240906	6.4831805229187	hft
	en_mr	en	en_hft_3.0k	3000	32.7763910293579	6.96492314338684	hft
	en_mr	en	en_hft_4.0k	4000	46.0771477222443	6.98042464256287	hft
	en_mr	en	en_hft_6.0k	6000	75.6104345321655	7.1843318939209	hft
	en_mr	en	en_hft_8.0k	8000	108.90301823616	7.29169702529907	hft
	en_mr	mr	mr_hft_0.5k	500	4.31460428237915	5.61529731750488	hft
	en_mr	mr	mr_hft_0.75k	750	6.84190201759338	6.06109642982483	hft
	en_mr	mr	mr_hft_1.5k	1500	16.1663687229157	6.47289562225342	hft
	en_mr	mr	mr_hft_3.0k	3000	37.5702133178711	6.75350761413574	hft
	en_mr	mr	mr_hft_4.0k	4000	52.481347322464	7.11117696762085	hft
	en_mr	mr	mr_hft_6.0k	6000	83.307986497879	7.10899090766907	hft
	en_mr	mr	mr_hft_8.0k	8000	115.608410358429	7.35850238800049	hft
	en_hi	en	en_char_0.785k	785	5.4905104637146	90.4436159133911	char
	en_hi	hi	hi_char_0.785k	785	5.88103365898132	104.711044788361	char
	en_hi	en	en_unigram_0.5k	500	83.2401428222656	128.699025630951	unigram
	en_hi	en	en_unigram_0.75k	750	88.682343006134	135.980235338211	unigram
	en_hi	en	en_unigram_1.5k	1500	82.1473665237427	126.690909385681	unigram
	en_hi	en	en_unigram_3.0k	3000	82.6979174613953	135.841848373413	unigram
	en_hi	en	en_unigram_4.0k	4000	89.6457052230835	128.861554384232	unigram
	en_hi	en	en_unigram_6.0k	6000	88.2270214557648	127.805258989334	unigram
	en_hi	en	en_unigram_8.0k	8000	90.6580274105072	135.945043563843	unigram
	en_hi	hi	hi_unigram_0.5k	500	79.7605619430542	85.8548114299774	unigram
	en_hi	hi	hi_unigram_0.75k	750	79.9528102874756	81.8243312835693	unigram
	en_hi	hi	hi_unigram_1.5k	1500	79.5474638938904	77.3359286785126	unigram
	en_hi	hi	hi_unigram_3.0k	3000	77.705317735672	72.3924841880798	unigram
	en_hi	hi	hi_unigram_4.0k	4000	76.016402721405	70.7830262184143	unigram
	en_hi	hi	hi_unigram_6.0k	6000	75.713226556778	73.4445643424988	unigram
	en_hi	hi	hi_unigram_8.0k	8000	75.5643782615662	72.4924705028534	unigram
	en_hi	en	en_bpe_0.5k	500	20.0660006999969	132.512966156006	bpe
	en_hi	en	en_bpe_1.0k	1000	21.2297134399414	129.184993028641	bpe
	en_hi	en	en_bpe_2.0k	2000	21.832245349884	120.744548797607	bpe
	en_hi	en	en_bpe_4.0k	4000	24.145161151886	128.45089006424	bpe
	en_hi	en	en_bpe_8.0k	8000	27.8097262382507	136.97882771492	bpe
	en_hi	en	en_bpe_16.0k	16000	40.3654203414917	138.165730714798	bpe
	en_hi	en	en_bpe_32.0k	32000	69.3681015968323	135.029373407364	bpe
	en_hi	hi	hi_bpe_0.5k	500	21.4538249969482	138.374757528305	bpe
	en_hi	hi	hi_bpe_1.0k	1000	23.8175332546234	132.580823421478	bpe
	en_hi	hi	hi_bpe_2.0k	2000	25.1879231929779	135.984688997269	bpe
	en_hi	hi	hi_bpe_4.0k	4000	28.1804316043854	140.965608596802	bpe
	en_hi	hi	hi_bpe_8.0k	8000	35.404598236084	141.309329748154	bpe
	en_hi	hi	hi_bpe_16.0k	16000	59.8943877220154	151.245084762573	bpe
	en_hi	hi	hi_bpe_32.0k	32000	112.268789768219	149.087747097015	bpe
	en_hi	hi	hi_hft_0.5k	500	56.7148103713989	287.749422550201	hft
	en_hi	hi	hi_hft_0.75k	750	66.0712096691132	311.932533979416	hft
	en_hi	hi	hi_hft_1.5k	1500	125.191790103912	329.997655153275	hft
	en_hi	hi	hi_hft_3.0k	3000	258.209535121918	354.204426527023	hft
	en_hi	hi	hi_hft_4.0k	4000	358.579618930817	355.679266214371	hft
	en_hi	hi	hi_hft_6.0k	6000	542.869564771652	358.059819221497	hft
	en_hi	hi	hi_hft_8.0k	8000	708.485359430313	396.158452272415	hft
	en_hi	en	en_hft_0.5k	500	56.439612865448	282.596974372864	hft
	en_hi	en	en_hft_0.75k	750	54.6454427242279	279.937672376633	hft
	en_hi	en	en_hft_1.5k	1500	120.823594808579	342.546541929245	hft
	en_hi	en	en_hft_3.0k	3000	277.498164653778	366.797996997833	hft
	en_hi	en	en_hft_4.0k	4000	406.708613872528	379.904641151428	hft
	en_hi	en	en_hft_6.0k	6000	690.212651968002	405.666169404984	hft
	en_hi	en	en_hft_8.0k	8000	961.395059108734	402.285756349564	hft
